School,Latitude,Longitude
Northwest Florida State College,30.5392334,-86.4768507
Monmouth University,40.2802758,-74.0054114
Notre Dame College,41.5074591,-81.5164707
Belmont University,36.1329081,-86.7941702
Riverside Community College,33.9711925,-117.3811035
Cal Poly Pomona,34.0555994,-117.819263
Davidson College,35.5015528,-80.8423248
University of Toldeo,41.6578804,-83.6142374
Northeastern University,42.339904,-71.0898892
Youngstown State University,41.1066413,-80.6480952
Valparaiso University,41.4639394,-87.0438893
CALIFORNIA BAPTIST UNIVERSITY,33.9288906,-117.4259155
University of Portland,45.5732046,-122.7275712
ASSUMPTION COLLEGE,42.2943228,-71.8291592
SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,38.7951375,-89.9996714
Wingate University,34.9857543,-80.4439554
SOUTH MOUNTAIN COMMUNITY COLLEGE,33.381761,-112.0322335
QUEENS COLLEGE OF CHARLOTTE,35.188626,-80.8329724
Westmont College,34.4488434,-119.6610313
University of Miami,25.7616798,-80.1917902
